"Step","Name: ppo_me_neg30p10 - Training/objective_proportion","Name: ppo_me_neg30p10 - Training/objective_proportion__MIN","Name: ppo_me_neg30p10 - Training/objective_proportion__MAX","Name: ppo_me_neg30p100 - Training/objective_proportion","Name: ppo_me_neg30p100 - Training/objective_proportion__MIN","Name: ppo_me_neg30p100 - Training/objective_proportion__MAX","Name: ppo_me30 - Training/objective_proportion","Name: ppo_me30 - Training/objective_proportion__MIN","Name: ppo_me30 - Training/objective_proportion__MAX"
"0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0.16666666666666666","0","0.5","0","0","0"
"2","0","0","0","0.11111111111111112","0","0.33333333333333337","0","0","0"
"3","0","0","0","0.08333333333333333","0","0.25","0","0","0"
"4","0","0","0","0.06666666666666667","0","0.2","0","0","0"
"5","0","0","0","0.11111111111111112","0","0.16666666666666669","0","0","0"
"6","0","0","0","0.09523809523809523","0","0.14285714285714288","0","0","0"
"7","0","0","0","0.125","0.125","0.12500000000000003","0","0","0"
"8","0","0","0","0.14814814814814817","0.1111111111111111","0.22222222222222227","0","0","0"
"9","0","0","0","0.13333333333333333","0.09999999999999999","0.20000000000000004","0","0","0"
"10","0","0","0","0.15151515151515152","0.0909090909090909","0.18181818181818185","0.030303030303030304","0","0.09090909090909091"
"11","0","0","0","0.1388888888888889","0.08333333333333333","0.16666666666666669","0.02777777777777778","0","0.08333333333333334"
"12","0","0","0","0.15384615384615385","0.07692307692307691","0.23076923076923078","0.025641025641025644","0","0.07692307692307693"
"13","0","0","0","0.14285714285714288","0.07142857142857142","0.2142857142857143","0.02380952380952381","0","0.07142857142857144"
"14","0","0","0","0.13333333333333333","0.06666666666666667","0.2","0.022222222222222227","0","0.06666666666666668"
"15","0","0","0","0.125","0.0625","0.1875","0.02083333333333334","0","0.06250000000000001"
"16","0","0","0","0.11764705882352942","0.058823529411764705","0.17647058823529413","0.019607843137254905","0","0.05882352941176472"
"17","0","0","0","0.11111111111111112","0.05555555555555555","0.16666666666666669","0.01851851851851852","0","0.055555555555555566"
"18","0","0","0","0.10526315789473685","0.05263157894736842","0.15789473684210528","0.01754385964912281","0","0.05263157894736843"
"19","0","0","0","0.10000000000000002","0.049999999999999996","0.15000000000000002","0.01666666666666667","0","0.05000000000000001"
"20","0","0","0","0.09523809523809525","0.047619047619047616","0.14285714285714288","0.015873015873015876","0","0.04761904761904763"
"21","0","0","0","0.09090909090909093","0.04545454545454545","0.13636363636363638","0.015151515151515154","0","0.04545454545454546"
"22","0","0","0","0.08695652173913045","0.04347826086956521","0.13043478260869568","0.014492753623188408","0","0.04347826086956522"
"23","0","0","0","0.09722222222222222","0.04166666666666666","0.16666666666666669","0.01388888888888889","0","0.04166666666666667"
"24","0","0","0","0.09333333333333334","0.039999999999999994","0.16000000000000003","0.013333333333333336","0","0.04000000000000001"
"25","0","0","0","0.08974358974358976","0.03846153846153846","0.15384615384615388","0.012820512820512824","0","0.03846153846153847"
"26","0","0","0","0.08641975308641976","0.037037037037037035","0.1481481481481482","0.012345679012345684","0","0.03703703703703705"
